HIP,X,Y,Z
677,0.8732651174529136,0.03196827054868507,0.4861955001006028
746,0.512378733773203,0.020507960722387683,0.8585146805523934
1067,0.9634824331890282,0.05570519165648424,0.26191321570066745
2021,0.21923111947723728,0.024642403640052588,-0.9753617114668783
2081,0.7347136107409824,0.08462309140043385,-0.6730786303202487
3092,0.845805349127583,0.14657724391136664,0.5129604496981373
3179,0.5428026089758522,0.09694802039445713,0.8342460122952965
3419,0.9339788211020573,0.17980161348722823,-0.3087959545075043
4427,0.4742303169041037,0.11979695702384335,0.8722122996248453
5165,0.6572785886816053,0.1949603180216162,-0.7279940461690793
5447,0.7755535649860744,0.24352681299175494,0.5824185429667136
6686,0.4620449667039544,0.1815621290116811,0.8680723714370175
7588,0.4927250980588501,0.22380179011133478,-0.8409130374098492
8886,0.38942390403163385,0.2123091759863588,0.896255452848547
8903,0.8202484811203592,0.44832497899700796,0.35524237138477194
9236,0.4135797054452695,0.23581687505745405,-0.8793987881967664
9640,0.633855289963529,0.3804772833417026,0.6733977340667017
9884,0.779682908749226,0.4832893361920818,0.39815321087159783
10064,0.6918505421757501,0.43881620541647764,0.573396167719147
11767,0.010127739704673157,0.007897338907972116,0.9999175270624308
13847,0.5433241552581763,0.5351451319249251,-0.6468528040366245
14135,0.6982556681761523,0.712286589713982,0.07132205811318534
14328,0.4116464396834232,0.4292478305910005,0.8039238201651209
14354,0.538186048207951,0.5630563051126689,0.6271549846626255
14576,0.5146498517164712,0.5527101380174616,0.6554746627146871
15863,0.4049803542647492,0.5015504068796082,0.7644855145903666
17358,0.37831993994442054,0.5552450268143667,0.7406598296373061
17678,0.1486928666603404,0.22730701766244724,-0.9624042555629803
17702,0.49886575709844044,0.7644154519195817,0.4084139729014932
18246,0.44324823873923075,0.7242512068613015,0.5281961645208323
18532,0.3891596838669029,0.6596986034467464,0.6429249513458197
18543,0.49339257300497324,0.8378554078872114,-0.23358528287905214
19780,0.2054456894777589,0.4139758327594717,-0.8868010366289104
21281,0.20999149577460782,0.5330624605354566,-0.8196023333728545
21421,0.34390531050751205,0.8949701701065392,0.2841786973441256
22449,0.29916795785235256,0.94647217520922,0.121197997298555
23015,0.2272419745220437,0.805653198872741,0.5470685589224102
23416,0.18073858080477728,0.6984732183640183,0.6924368047965717
23685,0.2179908648222097,0.8986787951563565,-0.3806000604182618
23767,0.17391280403773698,0.7316305075609032,0.6591442459719321
23875,0.22469804454027262,0.9703870330187088,-0.08865548448305433
24305,0.19583264766163583,0.9400865691493363,-0.27908209655021526
24436,0.19505209095212345,0.9703626078529495,-0.14265725041520902
24608,0.13050095763331257,0.6823024870461245,0.7193280310313658
25281,0.15424356466595457,0.987147166877696,-0.04182575384231141
25336,0.15062807169137193,0.982384585926663,0.11059705851530369
25428,0.12865945160090791,0.8684384443432374,0.4788125039098828
25606,0.12914598914073344,0.9261168315336058,-0.35444171289369486
25930,0.12183882940794707,0.992536170513479,-0.005220140892666083
25985,0.11300957492495009,0.9452791147640588,-0.30606573014004596
26207,0.10664515320494924,0.9792164657906243,0.1725164468171429
26241,0.10641987028480492,0.9889758048386779,-0.10296440478269472
26311,0.1035789714605109,0.994400024811509,-0.020975874857868816
26451,0.0908329727643567,0.9282520730012397,0.3606902549663503
26634,0.07345601338146092,0.8250506581058978,-0.5602638893031813
26727,0.08380901874613397,0.99590510650161,-0.03389789404707925
27366,0.05263846202631813,0.9843863484721486,-0.16796639323737808
27628,0.031998804129718866,0.81074598711023,-0.5845229002519291
27989,0.020891010929887193,0.9914352600042498,0.1289173800642602
28360,0.0014530099773334582,0.7077537156135507,0.7064577600941325
28380,0.0009707704187627478,0.7963946167890672,0.604776547126448
